,Name,Year,Genre,Publisher,Platform,Platform_Company,Device_Type,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
1642,Infected,2005,Shooter,THQ,PSP,Sony,HHC,140000,0,0,10000,150000
1643,Dead Rising 3,2013,Action,Microsoft Game Studios,XOne,Microsoft,Console,1060000,350000,10000,120000,1540000
1644,The King of Fighters '98: Dream Match Never Ends,1999,Fighting,SNK Playmore,PS,Sony,Console,50000,30000,0,10000,90000
1645,Calvin Tucker's Redneck Jamboree,2008,Misc,Zoo Games,Wii,Nintendo,Console,290000,0,0,20000,310000
1646,Samurai Warriors 4: Empires,2015,Action,Tecmo Koei,PS4,Sony,Console,20000,10000,50000,10000,90000
1647,Off Road Challenge,1998,Racing,GT Interactive,N64,Nintendo,Console,270000,60000,0,0,330000
1648,Kotoba no Puzzle: Mojipittan Daijiten,2004,Puzzle,Namco Bandai Games,PSP,Sony,HHC,0,0,110000,0,110000
1649,Jikkyou Powerful Pro Yakyuu 14 Ketteiban,2007,Sports,Konami Digital Entertainment,PS2,Sony,Console,0,0,90000,0,90000
1650,Sonic PC Collection,2009,Misc,Sega,PC,PC,PC,0,40000,0,10000,50000
1651,Nacho Libre,2006,Action,Majesco Entertainment,DS,Nintendo,HHC,30000,0,0,0,30000
1652,Digimon Story: Cyber Sleuth,2016,RPG,Namco Bandai Games,PS4,Sony,Console,0,90000,0,20000,110000
1653,Smash Court Tennis 3,2007,Sports,Atari,X360,Microsoft,Console,80000,20000,0,10000,110000
1654,Shadow of the Colossus,2005,Action,Sony Computer Entertainment,PS2,Sony,Console,780000,30000,200000,130000,1140000
1655,Gray Matter,2011,Adventure,DTP Entertainment,PC,PC,PC,20000,50000,0,10000,80000
1656,Cruis'n World,1998,Racing,Nintendo,N64,Nintendo,Console,590000,40000,0,10000,640000
1657,Scooby-Doo! Mystery Mayhem,2003,Action,THQ,GBA,Nintendo,HHC,310000,120000,0,10000,440000
1658,The Eye of Judgment: Legends,2010,Strategy,Sony Computer Entertainment,PSP,Sony,HHC,0,0,10000,0,10000
1659,Wild 9,1998,Action,Interplay,PS,Sony,Console,130000,90000,0,20000,240000
1660,MX vs. ATV Untamed,2007,Racing,THQ,PS3,Sony,Console,350000,60000,0,50000,460000
1661,Pilot ni Narou! 2,2001,Simulation,Victor Interactive,PS2,Sony,Console,0,0,80000,0,80000
1662,The King of Fighters EX2: Howling Blood,2002,Fighting,Marvelous Interactive,GBA,Nintendo,HHC,60000,20000,0,0,80000
1663,Ty the Tasmanian Tiger,2002,Platform,Electronic Arts,GC,Nintendo,Console,210000,50000,0,10000,270000
1664,Top Spin 2,2006,Sports,Take-Two Interactive,DS,Nintendo,HHC,50000,0,0,0,50000
1665,Fossil Fighters: Champions,2010,RPG,Nintendo,DS,Nintendo,HHC,320000,0,340000,20000,680000
1666,NHL Blades of Steel '99,1999,Sports,Konami Digital Entertainment,N64,Nintendo,Console,50000,0,0,0,50000
1667,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,2016,Misc,Namco Bandai Games,PS3,Sony,Console,0,0,20000,0,20000
1668,Barbarian,2002,Fighting,Titus,PS2,Sony,Console,70000,60000,0,20000,150000
1669,The Clique: Diss and Make Up,2009,Adventure,Warner Bros. Interactive Entertainment,DS,Nintendo,HHC,110000,0,0,10000,120000
1670,New Play Control! Donkey Kong Jungle Beat,2008,Platform,Nintendo,Wii,Nintendo,Console,240000,170000,140000,50000,600000
1671,BlazBlue: Continuum Shift,2010,Fighting,PQube,X360,Microsoft,Console,230000,40000,20000,20000,310000
1672,MySims Party,2009,Simulation,Electronic Arts,Wii,Nintendo,Console,180000,30000,0,20000,230000
1673,Dance Dance Revolution Disney Mix,2000,Simulation,Konami Digital Entertainment,PS,Sony,Console,20000,20000,0,0,40000
1674,Top Gear Overdrive,1998,Racing,Kemco,N64,Nintendo,Console,230000,60000,0,0,290000
1675,Disgaea DS,2008,RPG,Square Enix,DS,Nintendo,HHC,110000,20000,50000,10000,190000
1676,Alice in Wonderland,2010,Adventure,Disney Interactive Studios,DS,Nintendo,HHC,270000,180000,0,50000,500000
1677,TimeSplitters,2000,Shooter,Eidos Interactive,PS2,Sony,Console,210000,170000,0,60000,440000
1678,Dennou Senki Virtual-On Force,2010,Fighting,Sega,X360,Microsoft,Console,0,0,30000,0,30000
1679,WorldShift,2009,Strategy,Playlogic Game Factory,PC,PC,PC,20000,0,0,0,20000
1680,Pro Farm 1,2011,Simulation,Excalibur Publishing,PC,PC,PC,0,60000,0,10000,70000
1681,Summer Sports: Paradise Island (Others sales),2008,Sports,Ubisoft,Wii,Nintendo,Console,0,660000,0,10000,670000
1682,Yakuza Zero: The Place of Oath,2015,Action,Sega,PS4,Sony,Console,0,0,170000,0,170000
1683,FIFA Soccer 09,2008,Sports,Electronic Arts,PS3,Sony,Console,480000,1630000,40000,430000,2580000
1684,Centipede,1981,Shooter,Atari,2600,Atari,Console,1260000,80000,0,10000,1350000
1685,Panzer Dragoon Saga,1997,RPG,Sega,SAT,SEGA,Console,0,0,110000,0,110000
1686,Battle Rage,2008,Shooter,Popcorn Arcade,Wii,Nintendo,Console,40000,0,0,0,40000
1687,Guilty Gear XX Accent Core Plus,2009,Fighting,PQube,Wii,Nintendo,Console,10000,20000,0,0,30000
1688,Dig Dug,1985,Puzzle,Namco Bandai Games,NES,Nintendo,Console,0,0,410000,0,410000
1689,Initial D: Street Stage,2006,Racing,Sega,PSP,Sony,HHC,0,0,100000,0,100000
1690,Dragon Ball Z: Idainaru Dragon Ball Densetsu,1995,Fighting,Namco Bandai Games,SAT,SEGA,Console,0,0,150000,0,150000
1691,Jewel Master: Cradle Of Rome 2,2011,Puzzle,Rising Star Games,DS,Nintendo,HHC,0,20000,0,0,20000
1692,Pandora's Tower,2011,RPG,Nintendo,Wii,Nintendo,Console,130000,100000,80000,30000,340000
1693,Tales of Xillia 2,2012,RPG,Namco Bandai Games,PS3,Sony,Console,200000,150000,450000,70000,870000
1694,Emergency Room: Real Life Rescues,2009,Simulation,505 Games,DS,Nintendo,HHC,40000,0,0,0,40000
1695,Pony Luv,2008,Simulation,GSP,DS,Nintendo,HHC,20000,0,0,0,20000
1696,Rugrats Studio Tour,1999,Adventure,THQ,PS,Sony,Console,570000,670000,0,70000,1310000
1697,Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,2001,Simulation,ASCII Entertainment,PS2,Sony,Console,0,0,320000,0,320000
1698,Dynasty Warriors 5 Empires,2006,Action,Tecmo Koei,X360,Microsoft,Console,110000,10000,0,10000,130000
1699,Commander: Conquest of the Americas,2010,Strategy,Paradox Interactive,PC,PC,PC,0,20000,0,10000,30000
1700,Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,2014,Adventure,Namco Bandai Games,3DS,Nintendo,HHC,0,0,60000,0,60000
1701,Battlestations: Pacific,2009,Strategy,Eidos Interactive,X360,Microsoft,Console,170000,120000,10000,30000,330000
1702,Valkyrie Profile,1999,RPG,Enix Corporation,PS,Sony,Console,70000,50000,630000,50000,800000
1703,Shaun White Snowboarding,2008,Sports,Ubisoft,PS2,Sony,Console,150000,120000,0,40000,310000
1704,Suzuki Super-Bikes II: Riding Challenge,2008,Racing,Valcon Games,DS,Nintendo,HHC,50000,0,0,0,50000
1705,Top Gear Rally,2003,Racing,Kemco,GBA,Nintendo,HHC,60000,20000,0,0,80000
1706,Minecraft: Story Mode,2015,Adventure,Mojang,PC,PC,PC,20000,50000,0,10000,80000
1707,MotorStorm: Arctic Edge,2009,Racing,Sony Computer Entertainment,PSP,Sony,HHC,160000,580000,0,300000,1040000
1708,Just Dance: Disney Party 2,2015,Action,Ubisoft,XOne,Microsoft,Console,50000,10000,0,10000,70000
1709,World Series of Poker,2005,Misc,Activision,XB,Microsoft,Console,190000,50000,0,10000,250000
1710,World Championship Poker 2: Featuring Howard Lederer,2005,Misc,Oxygen Interactive,PS2,Sony,Console,160000,130000,0,40000,330000
1711,N3: Ninety-Nine Nights,2006,Action,Microsoft Game Studios,X360,Microsoft,Console,200000,30000,50000,20000,300000
1712,Kelly Slater's Pro Surfer,2002,Sports,Activision,XB,Microsoft,Console,80000,20000,0,0,100000
1713,Bakugan: Battle Brawlers,2009,Action,Activision,X360,Microsoft,Console,200000,20000,0,20000,240000
1714,Yume Neko DS,2008,Simulation,Sega,DS,Nintendo,HHC,0,0,20000,0,20000
1715,Chocobo Racing,1999,Racing,SquareSoft,PS,Sony,Console,70000,50000,300000,30000,450000
1716,Soul Eater: Monotone Princess,2008,Action,Square Enix,Wii,Nintendo,Console,0,0,20000,0,20000
1717,Bratz 4 Real,2007,Adventure,THQ,DS,Nintendo,HHC,290000,220000,0,60000,570000
1718,Order Up!,2008,Misc,Zoo Digital Publishing,Wii,Nintendo,Console,190000,10000,0,20000,220000
1719,Bakumatsu Rock: Ultra Soul,2014,Misc,Marvelous Interactive,PSP,Sony,HHC,0,0,10000,0,10000
1720,Dark Angel: Vampire Apocalypse,2001,RPG,Metro 3D,PS2,Sony,Console,40000,30000,0,10000,80000
1721,Polaris SnoCross,2000,Racing,Vatical Entertainment,N64,Nintendo,Console,50000,10000,0,0,60000
1722,One Piece Unlimited Cruise SP,2011,Action,Namco Bandai Games,3DS,Nintendo,HHC,0,0,300000,0,300000
1723,Shrek the Third,2007,Action,Activision,X360,Microsoft,Console,540000,100000,0,60000,700000
1724,All-Pro Football 2K8,2007,Sports,Take-Two Interactive,X360,Microsoft,Console,240000,0,0,20000,260000
1725,Power Pro Kun Pocket 6,2003,Sports,Konami Digital Entertainment,GBA,Nintendo,HHC,0,0,290000,10000,300000
1726,Far Cry Instincts Evolution,2006,Shooter,Ubisoft,XB,Microsoft,Console,60000,20000,0,0,80000
1727,Rune Factory 2: A Fantasy Harvest Moon,2008,RPG,Rising Star Games,DS,Nintendo,HHC,330000,30000,150000,30000,540000
1728,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,2010,Sports,Sega,PS3,Sony,Console,90000,200000,0,70000,360000
1729,BeatMania,1998,Simulation,Konami Digital Entertainment,PS,Sony,Console,0,0,1070000,20000,1090000
1730,Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban,2009,Adventure,Tecmo Koei,PSP,Sony,HHC,0,0,40000,0,40000
1731,NCAA GameBreaker 2003,2002,Sports,Sony Computer Entertainment,PS2,Sony,Console,110000,90000,0,30000,230000
1732,Ratchet & Clank: Size Matters,2008,Platform,Sony Computer Entertainment,PS2,Sony,Console,130000,100000,30000,30000,290000
1733,Rayman 3: Hoodlum Havoc,2003,Platform,Ubisoft,PS2,Sony,Console,140000,110000,0,40000,290000
1734,Prince of Persia: The Sands of Time,2003,Action,Ubisoft,GC,Nintendo,Console,250000,60000,0,10000,320000
1735,Tokyo Ghoul: Jail,2015,Racing,Namco Bandai Games,PSV,Sony,HHC,0,0,50000,0,50000
1736,NBA Live 09,2008,Sports,Electronic Arts,X360,Microsoft,Console,500000,140000,0,70000,710000
1737,Pro Pinball: Big Race USA,1999,Simulation,Take-Two Interactive,PS,Sony,Console,370000,250000,0,40000,660000
1738,Digimon World 4,2005,RPG,Atari,PS2,Sony,Console,80000,60000,0,20000,160000
1739,NBA 10: The Inside,2009,Sports,Sony Computer Entertainment,PSP,Sony,HHC,70000,0,0,10000,80000
1740,Driver,1999,Action,GT Interactive,PS,Sony,Console,3110000,2800000,20000,330000,6260000
1741,Karaoke Revolution Presents American Idol Encore,2008,Misc,Konami Digital Entertainment,Wii,Nintendo,Console,420000,0,0,30000,450000
1742,FIFA Street 3,2008,Sports,Electronic Arts,X360,Microsoft,Console,120000,140000,0,30000,290000
1743,NBA 08,2007,Sports,Sony Computer Entertainment,PS3,Sony,Console,120000,0,0,10000,130000
1744,The Smurfs 2,2013,Platform,Ubisoft,WiiU,Nintendo,Console,40000,40000,0,10000,90000
1745,Samurai Warriors 2,2006,Action,Tecmo Koei,X360,Microsoft,Console,70000,10000,0,10000,90000
1746,The Mysterious Murasame Castle,1986,Action,Nintendo,NES,Nintendo,Console,0,0,570000,0,570000
1747,Chibi-Robo! Plug into Adventure!,2005,Adventure,Nintendo,GC,Nintendo,Console,230000,60000,90000,10000,390000
1748,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,2012,Adventure,ChunSoft,PSV,Sony,HHC,0,0,30000,0,30000
1749,Major League Baseball 2K9,2009,Sports,Spike,PS2,Sony,Console,80000,60000,0,20000,160000
1750,Monopoly,2008,Misc,Electronic Arts,X360,Microsoft,Console,340000,200000,0,60000,600000
1751,Mortal Kombat vs. DC Universe,2008,Fighting,Midway Games,X360,Microsoft,Console,1530000,240000,0,160000,1930000
1752,J-League Pro Soccer Club o Tsukurou '04,2004,Sports,Sega,PS2,Sony,Console,0,0,360000,0,360000
1753,We Dance,2011,Misc,Nordic Games,Wii,Nintendo,Console,0,170000,0,20000,190000
1754,Hidden Mysteries: Vampire Secrets,2010,Adventure,Astragon,DS,Nintendo,HHC,60000,110000,0,20000,190000
1755,Hot Wheels: Stunt Track Challenge,2004,Racing,THQ,GBA,Nintendo,HHC,320000,120000,0,10000,450000
1756,Hunter: The Reckoning  Wayward,2003,Action,Interplay,PS2,Sony,Console,210000,160000,0,60000,430000
1757,JoJo's Bizarre Adventure: All Star Battle,2013,Fighting,Namco Bandai Games,PS3,Sony,Console,50000,20000,500000,10000,580000
1758,Shin Sangoku Musou Online: Kamishou Ranbu,2010,Action,Tecmo Koei,PS3,Sony,Console,0,0,30000,0,30000
1759,Higurashi no Naku Koro ni Iki,2015,Action,Kaga Create,PS3,Sony,Console,0,0,10000,0,10000
1760,Kazoku Keikaku,2010,Adventure,CyberFront,PSP,Sony,HHC,0,0,20000,0,20000
1761,Animaniacs: The Great Edgar Hunt,2005,Platform,Ignition Entertainment,GC,Nintendo,Console,20000,10000,0,0,30000
1762,Kung Fu Panda 2,2011,Action,THQ,Wii,Nintendo,Console,80000,50000,0,10000,140000
1763,NBA 2K13,2012,Sports,Take-Two Interactive,PC,PC,PC,0,20000,0,0,20000
1764,The King of Fighters XIV,2016,Fighting,Deep Silver,PS4,Sony,Console,40000,10000,30000,10000,90000
1765,Defender II,1987,Shooter,Atari,2600,Atari,Console,420000,20000,0,0,440000
1766,Batman: Rise of Sin Tzu,2003,Action,Ubisoft,PS2,Sony,Console,170000,130000,0,50000,350000
1767,Sega Touring Car Championship,1996,Racing,Sega,SAT,SEGA,Console,0,0,110000,0,110000
1768,Final Fantasy Crystal Chronicles: Echoes of Time,2009,RPG,Square Enix,Wii,Nintendo,Console,130000,60000,50000,20000,260000
1769,Juiced 2: Hot Import Nights,2007,Racing,THQ,X360,Microsoft,Console,220000,340000,0,70000,630000
1770,Shin Hayarigami,2014,Adventure,Nippon Ichi Software,PS3,Sony,Console,0,0,40000,0,40000
1771,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,2012,Adventure,Idea Factory,PSP,Sony,HHC,0,0,30000,0,30000
1772,MLB 16: The Show,2016,Action,Sony Computer Entertainment,PS4,Sony,Console,680000,0,0,160000,840000
1773,Agarest Senki: Re-appearance,2007,RPG,JP,PS3,Sony,Console,0,0,10000,0,10000
1774,Mace Griffin: Bounty Hunter,2003,Shooter,Electronic Arts,XB,Microsoft,Console,80000,20000,0,0,100000
1775,Growlanser Generations,2003,RPG,Atlus,PS2,Sony,Console,60000,40000,0,10000,110000
1776,Minna no Ennichi,2012,Action,Namco Bandai Games,3DS,Nintendo,HHC,0,0,50000,0,50000
1777,Savage Skies,2002,Shooter,Big Ben Interactive,PS2,Sony,Console,40000,30000,0,10000,80000
1778,Mary King's Riding School,2008,Simulation,Ghostlight,DS,Nintendo,HHC,0,20000,0,0,20000
1779,Mind Quiz,2006,Action,Ubisoft,PSP,Sony,HHC,80000,10000,0,10000,100000
1780,The Conveni 4,2006,Simulation,Hamster Corporation,PS2,Sony,Console,0,0,20000,0,20000
1781,Disney's Magical Quest 2 Starring Mickey and Minnie,2003,Action,Capcom,GBA,Nintendo,HHC,50000,20000,0,0,70000
1782,Hell's Kitchen: The Game,2008,Simulation,Ubisoft,Wii,Nintendo,Console,300000,0,0,30000,330000
1783,Hakuouki: Zuisouroku Portable,2010,Adventure,Idea Factory,PSP,Sony,HHC,0,0,90000,0,90000
1784,The Sims,2003,Simulation,Electronic Arts,GC,Nintendo,Console,350000,130000,0,10000,490000
1785,Suzumiya Haruhi no Heiretsu,2009,Adventure,Sega,Wii,Nintendo,Console,0,0,20000,0,20000
1786,Summon Night 3,2012,RPG,Namco Bandai Games,PSP,Sony,HHC,0,0,120000,0,120000
1787,Pokemon FireRed/Pokemon LeafGreen,2004,RPG,Nintendo,GBA,Nintendo,HHC,4340000,2650000,3150000,350000,10490000
1788,Pokemon Rumble Blast,2011,Action,Nintendo,3DS,Nintendo,HHC,470000,260000,350000,70000,1150000
1789,Planet 51,2009,Action,Sega,PS3,Sony,Console,70000,30000,0,20000,120000
1790,Space Battleship Yamato: Harukanaru Hoshi Iscandar,1999,Strategy,Namco Bandai Games,PS,Sony,Console,0,0,160000,10000,170000
1791,Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,2000,Sports,Nintendo,N64,Nintendo,Console,0,0,70000,0,70000
1792,Living Legends: Frozen Beauty,2014,Action,Big Fish Games,PC,PC,PC,0,30000,0,0,30000
1793,The Outfit,2006,Action,THQ,X360,Microsoft,Console,210000,20000,0,20000,250000
1794,Rumble Roses XX,2006,Fighting,Konami Digital Entertainment,X360,Microsoft,Console,70000,10000,40000,10000,130000
1795,Van Helsing,2004,Action,Activision,PS2,Sony,Console,220000,170000,0,60000,450000
1796,Gochuumon wa Usagi Desu ka?? Wonderful Party!,2016,Adventure,5pb,PSV,Sony,HHC,0,0,20000,0,20000
1797,Mountain Sports,2009,Sports,Activision,Wii,Nintendo,Console,110000,0,0,10000,120000
1798,Just Dance 2015,2014,Misc,Ubisoft,WiiU,Nintendo,Console,400000,280000,0,70000,750000
1799,Sekirei: Mirai Kara no Okurimono,2009,Adventure,Alchemist,PS2,Sony,Console,0,0,10000,0,10000
1800,Final Fantasy III,1990,RPG,SquareSoft,NES,Nintendo,Console,0,0,1390000,10000,1400000
1801,MotoGP 15,2015,Racing,Milestone S.r.l.,XOne,Microsoft,Console,0,30000,0,0,30000
1802,Tiny Toon Adventures: Wacky Stackers,2001,Puzzle,Conspiracy Entertainment,GBA,Nintendo,HHC,10000,0,0,0,10000
1803,Saban's Power Rangers: Lightspeed Rescue,2000,Action,THQ,PS,Sony,Console,190000,130000,0,20000,340000
1804,Sonic Mega Collection Plus,2004,Misc,Sega,XB,Microsoft,Console,610000,260000,0,40000,910000
1805,BioShock Infinite,2013,Shooter,Take-Two Interactive,PC,PC,PC,280000,300000,0,80000,660000
1806,Medal of Honor: European Assault (weekly JP sales),2005,Shooter,Electronic Arts,PS2,Sony,Console,0,0,50000,0,50000
1807,Cabela's African Safari,2006,Sports,Activision Value,PSP,Sony,HHC,40000,0,0,0,40000
1808,Cabela's Adventure Camp,2011,Misc,Activision,X360,Microsoft,Console,70000,20000,0,10000,100000
1809,Ray Gigant,2015,RPG,Namco Bandai Games,PSV,Sony,HHC,0,0,40000,0,40000
1810,Taiko no Tatsujin Wii: Ketteiban,2011,Misc,Namco Bandai Games,Wii,Nintendo,Console,0,0,390000,0,390000
1811,Carmen Sandiego: The Secret of the Stolen Drums,2004,Action,BAM! Entertainment,XB,Microsoft,Console,20000,10000,0,0,30000
1812,Sid Meier's Civilization Revolution,2008,Strategy,Take-Two Interactive,X360,Microsoft,Console,580000,170000,0,70000,820000
1813,Sega Superstars Tennis,2008,Sports,Sega,DS,Nintendo,HHC,290000,370000,0,80000,740000
1814,My Amusement Park,2010,Misc,Scholastic Inc.,DS,Nintendo,HHC,60000,0,0,0,60000
1815,Trace Memory,2005,Adventure,Nintendo,DS,Nintendo,HHC,150000,10000,120000,10000,290000
1816,Devil Survivor: Over Clock,2015,Strategy,Atlus,3DS,Nintendo,HHC,0,0,20000,0,20000
1817,Trivial Pursuit,2009,Misc,Electronic Arts,PS2,Sony,Console,90000,10000,0,170000,270000
1818,Tak 2: The Staff of Dreams,2004,Platform,THQ,GBA,Nintendo,HHC,330000,120000,0,10000,460000
1819,Tiny Toon Adventures: Toonenstein - Dare to Scare,1998,Action,Swing! Entertainment,PS,Sony,Console,30000,20000,0,0,50000
1820,Top Spin 4,2011,Sports,Take-Two Interactive,Wii,Nintendo,Console,50000,90000,0,20000,160000
1821,Soukoku no Kusabi: Hiiro no Kakera 3 - Ashita e no Tobira,2012,Action,Idea Factory,PSP,Sony,HHC,0,0,20000,0,20000
1822,Mortimer Beckett and the Secrets of Spooky Manor,2008,Puzzle,Avanquest,Wii,Nintendo,Console,40000,0,0,0,40000
1823,Monster Trucks DS,2005,Racing,Majesco Entertainment,DS,Nintendo,HHC,70000,0,0,10000,80000
1824,Monster Hunter Freedom 3,2010,RPG,Capcom,PSP,Sony,HHC,0,0,4870000,0,4870000
1825,Airblade,2001,Sports,Sony Computer Entertainment,PS2,Sony,Console,110000,90000,0,30000,230000
1826,Legend of the Guardians: The Owls of Ga'Hoole,2010,Action,Warner Bros. Interactive Entertainment,PS3,Sony,Console,60000,10000,0,10000,80000
1827,Cartoon Network: Punch Time Explosion,2011,Fighting,Deep Silver,3DS,Nintendo,HHC,70000,20000,0,10000,100000
1828,Heathcliff! Frantic Foto,2010,Misc,Storm City Games,DS,Nintendo,HHC,40000,0,0,0,40000
1829,Rock Band 2,2008,Misc,Electronic Arts,X360,Microsoft,Console,1780000,240000,0,180000,2200000
1830,Kamen Rider: Dragon Knight,2009,Fighting,D3Publisher,DS,Nintendo,HHC,50000,0,0,0,50000
1831,Flushed Away,2006,Platform,D3Publisher,GC,Nintendo,Console,120000,30000,0,0,150000
1832,TalkMan (Japan),2005,Misc,Sony Computer Entertainment,PSP,Sony,HHC,0,0,180000,0,180000
1833,Need for Speed (2015),2015,Racing,Electronic Arts,XOne,Microsoft,Console,300000,330000,0,60000,690000
1834,Vexx,2003,Platform,Acclaim Entertainment,XB,Microsoft,Console,80000,20000,0,0,100000
1835,NASCAR Thunder 2003,2002,Racing,Electronic Arts,XB,Microsoft,Console,200000,60000,0,10000,270000
1836,Monster House,2006,Adventure,THQ,PS2,Sony,Console,70000,50000,0,20000,140000
1837,Driven,2001,Racing,BAM! Entertainment,PS2,Sony,Console,80000,60000,0,20000,160000
1838,Eragon,2006,Action,Vivendi Games,PSP,Sony,HHC,100000,0,0,10000,110000
1839,MLB 08: The Show,2008,Sports,Sony Computer Entertainment,PS2,Sony,Console,350000,10000,0,60000,420000
1840,Suzumiya Haruhi no Tsuisou,2011,Adventure,Namco Bandai Games,PS3,Sony,Console,0,0,30000,0,30000
1841,Naxat Soft Reachmania Vol. 1: CR Galaxy Angel,2008,Misc,Naxat Soft,PS2,Sony,Console,0,0,10000,0,10000
1842,Metroid II: Return of Samus,1991,Adventure,Nintendo,GB,Nintendo,HHC,850000,310000,560000,40000,1760000
1843,Magician's Quest: Mysterious Times,2008,RPG,Konami Digital Entertainment,DS,Nintendo,HHC,40000,10000,480000,0,530000
1844,Pro Evolution Soccer 2012,2011,Action,Konami Digital Entertainment,Wii,Nintendo,Console,80000,80000,30000,20000,210000
1845,Final Fantasy III,1994,RPG,SquareSoft,SNES,Nintendo,Console,860000,0,2550000,20000,3430000
1846,Hydro Thunder,1999,Racing,Midway Games,PS,Sony,Console,260000,170000,0,30000,460000
1847,Cars: Race-O-Rama,2009,Racing,THQ,DS,Nintendo,HHC,350000,90000,0,40000,480000
1848,Majin Tensei,1994,RPG,Atlus,SNES,Nintendo,Console,0,0,80000,0,80000
1849,Final Fantasy X,2001,RPG,Sony Computer Entertainment,PS2,Sony,Console,2910000,2069999,2730000,330000,8039999
1850,Pe-Jongju to Manabu Kankokugo DS: Test-Hen,2010,Misc,D3Publisher,DS,Nintendo,HHC,0,0,20000,0,20000
1851,Hot Shots Tennis: Get a Grip,2010,Sports,Sony Computer Entertainment,PSP,Sony,HHC,60000,0,130000,10000,200000
1852,Monster High: Ghoul Spirit,2011,Misc,THQ,DS,Nintendo,HHC,720000,170000,0,70000,960000
1853,Kirby's Block Ball,1995,Puzzle,Nintendo,GB,Nintendo,HHC,0,0,320000,0,320000
1854,Tomb Raider: Anniversary,2007,Action,Eidos Interactive,PC,PC,PC,0,30000,0,10000,40000
1855,Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi,2013,Misc,Paon Corporation,PS3,Sony,Console,0,0,30000,0,30000
1856,Monster Hunter Frontier Online,2007,RPG,Capcom,PS3,Sony,Console,0,0,50000,0,50000
1857,Urban Chaos: Riot Response,2006,Shooter,Eidos Interactive,XB,Microsoft,Console,10000,0,0,0,10000
1858,Silent Scope,2002,Shooter,Konami Digital Entertainment,GBA,Nintendo,HHC,20000,10000,0,0,30000
1859,FIFA 15,2014,Sports,Electronic Arts,PSV,Sony,HHC,130000,480000,40000,190000,840000
1860,Hero Bank 2,2014,RPG,Sega,3DS,Nintendo,HHC,0,0,50000,0,50000
1861,Harvest Moon: Save the Homeland,2001,Simulation,JP,PS2,Sony,Console,190000,150000,0,50000,390000
1862,Rugby 15,2015,Sports,Bigben Interactive,PS4,Sony,Console,30000,60000,0,20000,110000
1863,Octomania,2007,Puzzle,Midas Interactive Entertainment,Wii,Nintendo,Console,60000,0,0,0,60000
1864,GT64 Championship Edition,1998,Racing,Ocean,N64,Nintendo,Console,80000,20000,0,0,100000
1865,After Hours Athletes,2011,Sports,Sony Computer Entertainment,PS3,Sony,Console,0,100000,0,30000,130000
1866,G Darius,1997,Shooter,THQ,PS,Sony,Console,40000,30000,0,0,70000
1867,Zoop,1995,Puzzle,MediaQuest,PS,Sony,Console,30000,20000,0,0,50000
1868,FIFA Soccer 10,2009,Sports,Electronic Arts,DS,Nintendo,HHC,140000,370000,0,70000,580000
1869,Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,2015,Action,Capcom,3DS,Nintendo,HHC,0,0,190000,0,190000
1870,BIT.TRIP COMPLETE,2011,Misc,Rising Star Games,Wii,Nintendo,Console,60000,20000,0,10000,90000
1871,Bayonetta 2,2014,Action,Nintendo,WiiU,Nintendo,Console,340000,280000,100000,300000,1020000
1872,Heart no Kuni no Alice,2009,Adventure,Prototype,PSP,Sony,HHC,0,0,10000,0,10000
1873,The BIGS,2007,Sports,Take-Two Interactive,PS3,Sony,Console,150000,0,0,10000,160000
1874,Zathura,2005,Adventure,Take-Two Interactive,XB,Microsoft,Console,20000,0,0,0,20000
1875,Infinite Stratos 2: Ignition Hearts,2014,Adventure,5pb,PS3,Sony,Console,0,0,30000,0,30000
1876,SpongeBob's Truth or Square,2009,Action,THQ,PSP,Sony,HHC,20000,40000,0,10000,70000
1877,NHL Blades of Steel 2000,1999,Sports,Konami Digital Entertainment,PS,Sony,Console,20000,10000,0,0,30000
1878,Fighting Force 2,1999,Action,Eidos Interactive,PS,Sony,Console,310000,210000,0,40000,560000
1879,Tomb Raider: Underworld,2008,Action,Eidos Interactive,PC,PC,PC,0,60000,0,20000,80000
1880,NHL Hitz Pro,2003,Sports,Midway Games,GC,Nintendo,Console,30000,10000,0,0,40000
1881,Dr. Muto,2002,Platform,Midway Games,XB,Microsoft,Console,40000,10000,0,0,50000
1882,Assassin's Creed III: Liberation,2012,Action,Ubisoft,PSV,Sony,HHC,580000,550000,60000,280000,1470000
1883,Neo Atlas,1998,Strategy,ArtDink,PS,Sony,Console,0,0,90000,10000,100000
1884,NFL GameDay 2002,2001,Sports,Sony Computer Entertainment,PS,Sony,Console,230000,150000,0,30000,410000
1885,Ninja Blade,2009,Action,Microsoft Game Studios,X360,Microsoft,Console,140000,140000,20000,30000,330000
