,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
3323,Mezase!! Tsuri Master DS,DS,2009,Sports,Hudson Soft,0,0,10000,0,10000
3324,Nicktoons: MLB,DS,2011,Sports,Take-Two Interactive,100000,0,0,10000,110000
3325,A. IV Evolution: A Ressha de Ikou 4,PS,1994,Strategy,ArtDink,0,0,240000,20000,260000
3326,Yuu Yuu Hakusho,SNES,1993,Fighting,Namco Bandai Games,0,0,360000,0,360000
3327,Etrian Odyssey III: The Drowned City,DS,2010,Role-Playing,Atlus,130000,0,190000,10000,330000
3328,Mugen Souls,PS3,2012,Role-Playing,Nippon Ichi Software,40000,30000,80000,10000,160000
3329,Major League Baseball 2K11,X360,2011,Sports,Take-Two Interactive,400000,30000,0,30000,460000
3330,Blade Arcus from Shining EX,PS3,2015,Fighting,Sega,0,0,20000,0,20000
3331,Pharaoh,PC,1998,Strategy,Vivendi Games,0,20000,0,0,20000
3332,Jimmy Neutron: Boy Genius,PS2,2002,Platform,THQ,200000,160000,0,50000,410000
3333,Groovin' Blocks,Wii,2009,Puzzle,Zoo Games,10000,0,0,0,10000
3334,Valkyrie Profile 2: Silmeria,PS2,2006,Role-Playing,Square Enix,40000,30000,390000,10000,470000
3335,Haikyuu!! Tsunage! Itadaki no Keshiki!!,3DS,2014,Adventure,Namco Bandai Games,0,0,70000,0,70000
3336,Viva Pinata: Party Animals,X360,2007,Misc,Microsoft Game Studios,190000,30000,0,20000,240000
3337,Mortal Kombat: Deadly Alliance,XB,2002,Fighting,Midway Games,770000,150000,0,40000,960000
3338,Pac-Man World 3,XB,2005,Platform,Namco Bandai Games,110000,40000,0,10000,160000
3339,Wing Commander: Prophecy,GBA,2003,Simulation,"Destination Software, Inc",40000,10000,0,0,50000
3340,Scooby-Doo! Unmasked,DS,2005,Platform,THQ,70000,20000,0,10000,100000
3341,Guilty Gear Dust Strikers,DS,2006,Fighting,Majesco Entertainment,50000,0,0,0,50000
3342,Green Lantern: Rise of the Manhunters,DS,2011,Action,Warner Bros. Interactive Entertainment,80000,20000,0,10000,110000
3343,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,DS,2010,Misc,Namco Bandai Games,0,0,420000,0,420000
3344,Big Family Games,Wii,2009,Misc,THQ,0,220000,0,20000,240000
3345,Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2,DS,2006,Action,Sega,0,0,130000,0,130000
3346,Samurai Warriors 3,Wii,2009,Action,Nintendo,100000,20000,320000,10000,450000
3347,The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,200000,420000,0,50000,670000
3348,NHL 2K3,PS2,2002,Sports,Sega,100000,80000,0,30000,210000
3349,Alvin and the Chipmunks: The Squeakquel,DS,2009,Misc,Majesco Entertainment,280000,0,0,20000,300000
3350,Blinx 2: Masters of Time & Space,XB,2004,Platform,Microsoft Game Studios,120000,30000,0,10000,160000
3351,Tak 2: The Staff of Dreams,XB,2004,Platform,THQ,100000,30000,0,0,130000
3352,The Smurfs 2,X360,2013,Platform,Ubisoft,30000,90000,0,10000,130000
3353,Simpsons Wrestling,PS,2001,Fighting,Electronic Arts,230000,1160000,0,110000,1500000
3354,Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003,Role-Playing,Nintendo,210000,50000,0,10000,270000
3355,Katekyoo Hitman Reborn! Battle Arena 2 - Spirits Burst,PSP,2009,Fighting,Marvelous Interactive,0,0,40000,0,40000
3356,NBA ShootOut,PS,1995,Sports,Sony Computer Entertainment,170000,120000,0,20000,310000
3357,Deus Ex: Human Revolution,X360,2011,Shooter,Square Enix,760000,480000,20000,120000,1380000
3358,King of Fighters: Maximum Impact,PS2,2004,Fighting,Ignition Entertainment,130000,100000,0,30000,260000
3359,The Simpsons: Road Rage,XB,2001,Racing,Electronic Arts,780000,260000,0,10000,1050000
3360,Major League Baseball 2K8,PSP,2008,Sports,2K Sports,30000,0,0,0,30000
3361,Alexi Lalas International Soccer,PS,1998,Sports,Take-Two Interactive,40000,30000,0,0,70000
3362,Harry Potter and the Chamber of Secrets,XB,2002,Action,Electronic Arts,270000,80000,0,10000,360000
3363,Arabians Lost: The Engagement on Desert,PS2,2007,Adventure,Prototype,0,0,20000,0,20000
3364,LEGO Indiana Jones: The Original Adventures,DS,2008,Action,Activision,1420000,610000,0,210000,2240000
3365,Persona,PS,1995,Role-Playing,Atlus,0,0,420000,30000,450000
3366,Shadows of the Damned,X360,2011,Action,Electronic Arts,100000,60000,10000,20000,190000
3367,Fatal Fury Special,SNES,1994,Fighting,Takara,0,0,560000,0,560000
3368,Super Robot Taisen OG Saga: Endless Frontier (JP sales),DS,2008,Role-Playing,Namco Bandai Games,0,0,140000,0,140000
3369,Yakuza 5,PS3,2012,Action,Sega,0,0,590000,0,590000
3370,Kid Icarus,NES,1986,Platform,Nintendo,530000,120000,1090000,20000,1760000
3371,Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,450000,120000,0,20000,590000
3372,Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games,150000,120000,200000,40000,510000
3373,Bratz: Rock Angelz,GBA,2004,Misc,THQ,390000,140000,0,10000,540000
3374,Dragon's Dogma Online,PS3,2015,Role-Playing,Capcom,0,0,30000,0,30000
3375,Virtual Pool: Tournament Edition,XB,2005,Sports,Global Star,20000,10000,0,0,30000
3376,Dawn of Discovery,Wii,2009,Simulation,Ubisoft,130000,60000,0,20000,210000
3377,Thunder Alley,GBA,2004,Racing,XS Games,10000,0,0,0,10000
3378,Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,450000,60000,420000,0,930000
3379,UFC Undisputed 3,X360,2012,Action,THQ,720000,210000,0,70000,1000000
3380,Dancing on Ice,Wii,2010,Sports,Ghostlight,0,90000,0,10000,100000
3381,World Series Baseball 2K3,XB,2003,Sports,Sega,110000,30000,0,10000,150000
3382,Power Play Pool,DS,2006,Sports,System 3 Arcade Software,30000,0,0,0,30000
3383,Tony Hawk's Project 8,PSP,2006,Sports,Activision,410000,80000,0,70000,560000
3384,RLH: Run Like Hell,XB,2003,Shooter,Avalon Interactive,30000,10000,0,0,40000
3385,Daniel X: The Ultimate Power,DS,2010,Action,THQ,70000,0,0,10000,80000
3386,Stronghold 2 Deluxe,PC,2005,Strategy,Take-Two Interactive,0,20000,0,0,20000
3387,Wii Fit,Wii,2007,Sports,Nintendo,8940000,8029999,3600000,2150000,22719999
3388,LEGO Batman 2: DC Super Heroes,Wii,2012,Action,Warner Bros. Interactive Entertainment,940000,400000,0,110000,1450000
3389,Disney's Magical Quest Starring Mickey and Minnie,GBA,2002,Action,Nintendo,160000,60000,0,0,220000
3390,SpongeBob SquarePants: Creature from the Krusty Krab,Wii,2006,Platform,THQ,450000,20000,0,40000,510000
3391,Hasbro Family Game Night,Wii,2008,Puzzle,Electronic Arts,970000,340000,0,130000,1440000
3392,Rapala Pro Fishing,PS2,2004,Sports,Zoo Digital Publishing,180000,140000,0,50000,370000
3393,Deadpool,PS4,2015,Action,Activision,130000,100000,0,50000,280000
3394,Dragon Quest Monsters 2,3DS,2014,Role-Playing,Square Enix,0,0,790000,0,790000
3395,Untold Legends: Brotherhood of the Blade,PSP,2005,Role-Playing,Activision,540000,330000,10000,220000,1100000
3396,Virtua Cop 2,SAT,1996,Shooter,Sega,0,0,300000,0,300000
3397,Toaru Majutsu no Kagaku no Ensemble,PSP,2013,Adventure,Namco Bandai Games,0,0,30000,0,30000
3398,Fate/Extra,PSP,2010,Role-Playing,Marvelous Interactive,180000,10000,100000,20000,310000
3399,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003,Action,Take-Two Interactive,850000,660000,0,220000,1730000
3400,Duel Masters: Shadow of the Code,GBA,2004,Misc,Atari,10000,0,0,0,10000
3401,Builder's Block,PS,1999,Strategy,EON Digital Entertainment,10000,0,0,0,10000
3402,Ratchet & Clank: Going Commando (JP weekly sales),PS2,2003,Action,Sony Computer Entertainment,0,0,240000,0,240000
3403,Need for Speed Underground 2,DS,2005,Racing,Electronic Arts,110000,20000,0,10000,140000
3404,ESPN College Hoops,PS2,2003,Sports,Sega,80000,60000,0,20000,160000
3405,Homefront,PS3,2011,Shooter,THQ,320000,400000,40000,150000,910000
3406,X2: Wolverine's Revenge,GC,2003,Platform,Activision,90000,20000,0,0,110000
3407,Lucha Libre AAA: Heroes del Ring,PS3,2010,Fighting,Konami Digital Entertainment,100000,0,0,10000,110000
3408,Maximum Force,PS,1997,Shooter,GT Interactive,60000,40000,0,10000,110000
3409,McDROID,Wii,2011,Strategy,Namco Bandai Games,0,0,120000,0,120000
3410,Inversion,X360,2012,Shooter,Namco Bandai Games,30000,20000,0,10000,60000
3411,Crash: Mind Over Mutant,PS2,2008,Platform,Vivendi Games,250000,190000,0,60000,500000
3412,Farming Simulator 15 Expansion Pack,PC,2015,Action,Focus Home Interactive,0,10000,0,0,10000
3413,NBA Ballers: Rebound,PSP,2006,Sports,Midway Games,90000,0,0,10000,100000
3414,NHL 99,PS,1997,Sports,Electronic Arts,590000,400000,0,70000,1060000
3415,Ghostbusters: The Video Game,PS2,2009,Action,Atari,150000,40000,0,240000,430000
3416,Touch the Dead,DS,2007,Shooter,Eidos Interactive,200000,0,0,20000,220000
3417,Call of Duty: Modern Warfare Trilogy,PS3,2016,Shooter,Activision,0,10000,0,0,10000
3418,Dodge Racing: Charger vs Challenger,Wii,2009,Racing,Zushi Games,110000,0,0,10000,120000
3419,School Days LxH,PS2,2008,Adventure,Interchannel,0,0,20000,0,20000
3420,Guitar Hero 5,Wii,2009,Misc,Activision,940000,490000,0,150000,1580000
3421,DS Bimoji Training,DS,2008,Misc,Nintendo,0,0,560000,0,560000
3422,Fight Night Round 3,PS3,2006,Fighting,Electronic Arts,810000,590000,10000,260000,1670000
3423,DEATH NOTE: L o Tsugu Mono,DS,2007,Adventure,Konami Digital Entertainment,0,0,20000,0,20000
3424,Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,310000,0,210000,30000,550000
3425,Klonoa 2: Lunatea's Veil,PS2,2001,Platform,Sony Computer Entertainment,120000,100000,80000,30000,330000
3426,World Championship Pool 2004,XB,2003,Sports,Jaleco,30000,10000,0,0,40000
3427,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.5,PS3,2015,Action,Namco Bandai Games,0,0,20000,0,20000
3428,Marvel: Ultimate Alliance 2,PSP,2009,Role-Playing,Activision,170000,40000,0,40000,250000
3429,Kamaitachi no Yoru × 3,PS2,2006,Adventure,Sega,0,0,160000,0,160000
3430,Brave: The Video Game,Wii,2012,Action,Disney Interactive Studios,0,20000,0,0,20000
3431,World of Outlaws: Sprint Cars 2002,PS2,2002,Racing,Ignition Entertainment,230000,180000,0,60000,470000
3432,Dance Party: Pop Hits,Wii,2009,Misc,Nordic Games,0,360000,0,20000,380000
3433,Arc the Lad: End of Darkness,PS2,2004,Role-Playing,Sony Computer Entertainment,30000,20000,0,10000,60000
3434,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7010000,9270000,970000,4139999,21389999
3435,The Incredible Hulk,Wii,2008,Action,Sega,280000,10000,0,20000,310000
3436,Mega Man X8,PS2,2004,Platform,Capcom,140000,110000,0,40000,290000
3437,The Legend of Heroes III: Song of the Ocean,PSP,2006,Role-Playing,Namco Bandai Games,30000,0,0,0,30000
3438,Full Spectrum Warrior,PS2,2005,Strategy,THQ,150000,110000,0,40000,300000
3439,Guilty Gear X,PS2,2001,Fighting,Sammy Corporation,60000,50000,0,20000,130000
3440,Bratz,GBA,2002,Platform,Ubisoft,100000,40000,0,0,140000
3441,Angler's Club: Ultimate Bass Fishing 3D,3DS,2011,Sports,D3Publisher,0,30000,0,0,30000
3442,Super Batter Up,SNES,1992,Sports,Namco Bandai Games,0,0,460000,0,460000
3443,ChuChu Rocket!,GBA,2001,Strategy,Atari,60000,20000,0,0,80000
3444,Big League Sports,Wii,2008,Sports,Activision,90000,10000,0,10000,110000
3445,thinkSMART: Chess for Kids,DS,2011,Misc,Mentor Interactive,10000,0,0,0,10000
3446,Playmobil Pirates,DS,2009,Action,Mindscape,80000,0,0,10000,90000
3447,Jonah Lomu Rugby Challenge,PC,2011,Sports,Home Entertainment Suppliers,0,40000,0,10000,50000
3448,Exhibition,XB,2001,Misc,Microsoft Game Studios,190000,50000,0,10000,250000
3449,Scaler,PS2,2004,Platform,Take-Two Interactive,50000,40000,0,10000,100000
3450,Jikkyou J-League Perfect Striker,N64,1996,Sports,Konami Digital Entertainment,0,0,190000,0,190000
3451,The Idolmaster: Gravure For You! Vol. 3,PS3,2011,Misc,Namco Bandai Games,0,0,80000,0,80000
3452,Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,Square Enix,0,0,630000,0,630000
3453,Capcom Digital Collection,X360,2012,Action,Capcom,20000,10000,0,0,30000
3454,Every Extend Extra,PSP,2006,Shooter,Disney Interactive Studios,100000,10000,0,10000,120000
3455,Cloudy With a Chance of Meatballs,X360,2009,Platform,Ubisoft,70000,10000,0,10000,90000
3456,Bravely Default: Flying Fairy,3DS,2012,Role-Playing,Nintendo,500000,320000,490000,70000,1380000
3457,Rapala Tournament Fishing!,Wii,2006,Sports,Activision,510000,0,0,40000,550000
3458,Need for Speed: Shift,PS3,2009,Racing,Electronic Arts,690000,1410000,40000,530000,2670000
3459,Unending Bloody Call,PSP,2012,Action,Asgard,0,0,10000,0,10000
3460,Robotics;Notes,PSV,2014,Adventure,5pb,0,0,20000,0,20000
3461,H2O+: Footprints in the Sand,PS2,2008,Adventure,Kadokawa Shoten,0,0,10000,0,10000
3462,PachiPara 3D: Ooumi Monogatari 2 - Pachi Pro Fuuunroku Hana,3DS,2012,Action,Irem Software Engineering,0,0,20000,0,20000
3463,Alone in the Dark,Wii,2008,Adventure,Atari,90000,80000,0,20000,190000
3464,Wario: Master of Disguise,DS,2007,Platform,Nintendo,280000,20000,330000,30000,660000
3465,Scaler,XB,2004,Platform,Global Star,30000,10000,0,0,40000
3466,GachiTora! Abarenbou Kyoushi in High School,PSP,2011,Action,Spike,0,0,50000,0,50000
3467,Battleborn,PS4,2016,Shooter,Take-Two Interactive,90000,80000,10000,40000,220000
3468,Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,3DS,2014,Action,Namco Bandai Games,0,0,10000,0,10000
3469,Thief: Deadly Shadows,XB,2004,Action,Eidos Interactive,130000,40000,0,10000,180000
3470,WRC 5: FIA World Rally Championship,X360,2015,Sports,Bigben Interactive,0,20000,0,0,20000
3471,F1 Challenge,SAT,1994,Racing,Sega,0,0,180000,0,180000
3472,Madden NFL 15,PS3,2014,Sports,Electronic Arts,1070000,150000,0,190000,1410000
3473,Wordfish,DS,2008,Puzzle,Ubisoft,70000,0,0,10000,80000
3474,Kotoba no Puzzle: Mojipittan DS,DS,2007,Puzzle,Namco Bandai Games,0,0,370000,0,370000
3475,Space Chimps,PS2,2008,Platform,Brash Entertainment,60000,50000,0,20000,130000
3476,F1 Race Stars,PC,2012,Racing,Codemasters,0,20000,0,0,20000
3477,Looney Tunes: Back in Action,GC,2003,Platform,Warner Bros. Interactive Entertainment,130000,30000,0,0,160000
3478,How to Train Your Dragon 2,X360,2014,Adventure,Little Orbit,50000,130000,0,20000,200000
3479,Jikkyou Powerful Pro Yakyuu 15,Wii,2008,Sports,Konami Digital Entertainment,0,0,80000,0,80000
3480,NHL FaceOff 2003,PS2,2002,Sports,Sony Computer Entertainment,110000,90000,0,30000,230000
3481,Resident Evil (Remake),GC,2002,Action,Capcom,630000,380000,350000,50000,1410000
3482,Fighting Force 64,N64,1999,Action,Crave Entertainment,90000,20000,0,0,110000
3483,Virtua Tennis 4: World Tour,PSV,2011,Sports,Sega,50000,300000,10000,120000,480000
3484,Dead Rising,X360,2006,Action,Capcom,1160000,650000,80000,200000,2090000
3485,San Francisco Rush 2049,N64,2000,Racing,Midway Games,160000,40000,0,0,200000
3486,Naruto RPG 3: Rejiuu vs Konoha Shoutai,DS,2006,Role-Playing,Takara Tomy,0,0,90000,0,90000
3487,Snowboard Kids,N64,1996,Sports,Atlus,160000,40000,0,0,200000
3488,F1 2015,PS4,2015,Racing,Codemasters,90000,440000,30000,90000,650000
3489,Soldier of Fortune: Payback,X360,2007,Shooter,Activision,180000,10000,0,10000,200000
3490,World Poker Tour,GBA,2005,Misc,Take-Two Interactive,10000,0,0,0,10000
3491,The Kore Gang,Wii,2010,Platform,Flashpoint Games,40000,0,0,0,40000
3492,SimAnimals Africa,DS,2009,Simulation,Electronic Arts,80000,20000,0,10000,110000
3493,The Final Round,PS,1996,Sports,Konami Digital Entertainment,40000,30000,0,0,70000
3494,Cardinal Syn,PS,1998,Fighting,Sony Computer Entertainment,80000,60000,0,10000,150000
3495,Red Faction II,PS2,2002,Shooter,THQ,490000,780000,0,230000,1500000
3496,Mystery Tales of Time Travel,DS,2010,Puzzle,Foreign Media Games,10000,160000,0,20000,190000
3497,LEGO Star Wars III: The Clone Wars,X360,2011,Action,LucasArts,840000,540000,0,130000,1510000
3498,Tokimeki Memorial: Girls Side 1st Love,DS,2007,Adventure,Konami Digital Entertainment,0,0,50000,0,50000
3499,Major League Baseball 2K5,XB,2005,Sports,Take-Two Interactive,520000,20000,0,20000,560000
3500,Joust,2600,1982,Platform,Atari,1010000,60000,0,10000,1080000
3501,Vietcong: Purple Haze,PS2,2004,Shooter,Gathering of Developers,90000,70000,0,20000,180000
3502,Bad Boys: Miami Takedown,XB,2004,Shooter,Empire Interactive,140000,40000,0,10000,190000
3503,Jikkyou Powerful Pro Yakyuu 6,N64,1999,Sports,Konami Digital Entertainment,0,0,390000,30000,420000
3504,Galaxy Angel II: Eigou Kaiki no Koku,PS2,2009,Strategy,Broccoli,0,0,20000,0,20000
3505,Fatal Inertia,X360,2007,Racing,Tecmo Koei,120000,0,0,10000,130000
3506,Strike Witches: Shirogane no Tsubasa,PSP,2012,Strategy,Kadokawa Shoten,0,0,20000,0,20000
3507,Norn + Nonette: Last Era,PSV,2015,Action,Idea Factory,0,0,10000,0,10000
3508,Rat Attack!,N64,2000,Puzzle,Mindscape,20000,0,0,0,20000
3509,Bleach: Heat the Soul 4,PSP,2007,Fighting,Sony Computer Entertainment,0,0,80000,0,80000
3510,Capcom Classics Collection Reloaded,PSP,2006,Misc,Capcom,260000,0,30000,30000,320000
3511,Zettai Zetsumei Toshi 3: Kowareyuku Machi to Kanojyo no Uta,PSP,2009,Action,Irem Software Engineering,0,0,70000,0,70000
3512,Grand Prix Challenge,PS2,2002,Racing,Atari,40000,30000,0,10000,80000
3513,Scarlett: Nichijou no Kyoukaisen,PS2,2008,Adventure,Kadokawa Shoten,0,0,10000,0,10000
3514,Gravity Games Bike: Street Vert Dirt,PS2,2002,Sports,Midway Games,50000,40000,0,10000,100000
3515,Alice: Madness Returns,X360,2011,Adventure,Electronic Arts,270000,150000,40000,40000,500000
3516,Kane & Lynch: Dead Men,X360,2007,Shooter,Eidos Interactive,360000,310000,10000,80000,760000
3517,Ninja: Shadow of Darkness,PS,1998,Action,Eidos Interactive,210000,140000,0,20000,370000
3518,Hyperdimension Neptunia mk2,PS3,2011,Action,Nippon Ichi Software,0,10000,0,0,10000
3519,Dakar 2: The World's Ultimate Rally,XB,2003,Racing,Acclaim Entertainment,20000,0,0,0,20000
3520,Family GameShow,Wii,2009,Misc,Zushi Games,80000,0,0,10000,90000
3521,Earth Defense Force: Insect Armageddon,PS3,2011,Shooter,D3Publisher,60000,40000,80000,20000,200000
3522,Prince of Persia: The Forgotten Sands,DS,2010,Action,Ubisoft,140000,10000,0,10000,160000
3523,My Horse & Me,DS,2007,Sports,Atari,330000,0,0,30000,360000
3524,WipEout 3,PS,1999,Racing,Psygnosis,190000,130000,0,20000,340000
3525,Innocent Life: A Futuristic Harvest Moon,PSP,2006,Simulation,Rising Star Games,80000,30000,30000,20000,160000
3526,Classic NES Series: Dr. Mario,GBA,2004,Puzzle,Nintendo,310000,110000,130000,10000,560000
3527,Petz Bunnyz,DS,2008,Simulation,Ubisoft,390000,10000,0,30000,430000
3528,Mega Man Battle Chip Challenge,GBA,2003,Misc,Capcom,80000,30000,0,0,110000
3529,Yu-Gi-Oh! GX: Tag Force 3,PSP,2008,Strategy,Konami Digital Entertainment,0,30000,180000,10000,220000
3530,White Album 2: Shiawase no Mukougawa,PS3,2012,Adventure,Aqua Plus,0,0,40000,0,40000
3531,Back to the Future: The Game,X360,2015,Adventure,Telltale Games,20000,10000,0,0,30000
3532,Cosmic Ark,2600,1981,Shooter,Imagic,990000,50000,0,10000,1050000
3533,Highschool Terra Story,SAT,1998,Adventure,KID,0,0,30000,0,30000
3534,Geten no Hana: Yume Akari,PSP,2014,Misc,Tecmo Koei,0,0,10000,0,10000
3535,Bakugan: Battle Trainer,DS,2010,Action,Activision,120000,0,0,10000,130000
3536,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1620000,770000,2780000,140000,5310000
3537,Wallace & Gromit in Project Zoo,XB,2003,Platform,BAM! Entertainment,20000,10000,0,0,30000
3538,Backyard NFL Football,GC,2002,Sports,Infogrames,200000,50000,0,10000,260000
3539,The Mummy,GBA,2002,Action,Ubisoft,10000,0,0,0,10000
3540,NHL Hitz 20-03,PS2,2002,Sports,Midway Games,140000,110000,0,40000,290000
3541,Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,720000,500000,10000,100000,1330000
3542,The Land Before Time: Great Valley Racing Adventure,PS,2001,Racing,TDK Mediactive,50000,40000,0,10000,100000
3543,Battlefield: Hardline,PC,2015,Shooter,Electronic Arts,0,130000,0,10000,140000
3544,Army Men: Green Rogue,PS2,2001,Action,3DO,60000,50000,0,20000,130000
3545,Disruptor,PS,1995,Shooter,Interplay,70000,50000,0,10000,130000
3546,Ketsui Death Label,DS,2008,Shooter,Arika,0,0,20000,0,20000
3547,Happiness! De-Lucks,PS2,2007,Adventure,Marvelous Interactive,0,0,20000,0,20000
3548,Chessmaster: The Art of Learning,PSP,2008,Misc,Ubisoft,110000,0,0,10000,120000
3549,Real Rode,PS2,2008,Adventure,Kadokawa Shoten,0,0,10000,0,10000
3550,Just Dance: Disney Party 2,WiiU,2015,Action,Ubisoft,60000,10000,0,10000,80000
3551,The King of Fighters '94 (CD),NG,1993,Fighting,SNK,0,0,140000,0,140000
3552,TERA,PC,2011,Role-Playing,Microsoft Windows,240000,120000,0,50000,410000
3553,Galaxy Angel II: Mugen Kairou no Kagi,PS2,2007,Strategy,Broccoli,0,0,30000,0,30000
3554,Brunswick Pro Bowling,PSP,2007,Sports,505 Games,190000,0,0,20000,210000
3555,Curious George,PS2,2006,Action,Namco Bandai Games,60000,50000,0,20000,130000
3556,Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios,500000,780000,10000,90000,1380000
3557,Final Fantasy III,DS,2006,Role-Playing,Square Enix,910000,50000,1070000,90000,2120000
3558,Sphinx and the Cursed Mummy,XB,2003,Action,THQ,90000,20000,0,0,110000
3559,Professional Fisherman's Tour: Northern Hemisphere,DS,2007,Sports,505 Games,160000,0,0,10000,170000
3560,The Revenge of Shinobi,GBA,2002,Platform,Atari,70000,20000,0,0,90000
3561,Let's Draw!,DS,2008,Misc,Ubisoft,240000,230000,0,60000,530000
3562,Sorcery Saga: The Curse of the Great Curry God,PSV,2013,Role-Playing,Rising Star Games,0,0,30000,0,30000
3563,Triple Play 2001,PS,2000,Sports,Electronic Arts,740000,500000,0,90000,1330000
3564,Madden NFL Football,3DS,2011,Sports,Electronic Arts,360000,10000,0,30000,400000
3565,Hot Wheels: Beat That!,X360,2007,Racing,Activision,150000,0,0,10000,160000
3566,Clever Kids: Creepy Crawlies,DS,2009,Action,Midas Interactive Entertainment,0,40000,0,0,40000
3567,Wakeboarding Unleashed Featuring Shaun Murray,PS2,2003,Sports,Activision,80000,60000,0,20000,160000
3568,Super Ghouls 'n Ghosts,SNES,1991,Platform,Capcom,500000,140000,520000,20000,1180000
3569,Jikkyou Powerful Pro Yakyuu 2012,PS3,2012,Action,Konami Digital Entertainment,0,0,210000,0,210000
3570,The Eye of Judgment,PS3,2007,Misc,Sony Computer Entertainment,280000,0,20000,30000,330000
3571,Pro Yakyuu Netsu Star 2006,PS2,2006,Sports,Namco Bandai Games,0,0,140000,0,140000
3572,Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,2010,Adventure,Disney Interactive Studios,400000,220000,0,60000,680000
3573,Super Bust-A-Move,GBA,2001,Puzzle,Ubisoft,30000,10000,0,0,40000
3574,History Civil War: Secret Missions,X360,2008,Shooter,Activision,120000,0,0,10000,130000
3575,WWE Crush Hour,PS2,2003,Racing,THQ,170000,130000,0,40000,340000
3576,NatGeo Challenge! Wild Life,X360,2010,Misc,Black Bean Games,0,20000,0,0,20000
3577,The King of Fighters XI,PS2,2006,Fighting,Ignition Entertainment,70000,60000,40000,20000,190000
3578,Army Men: Sarge's Heroes 2,PS,2000,Shooter,3DO,140000,90000,0,20000,250000
3579,Grand Theft Auto: San Andreas,X360,2008,Action,Take-Two Interactive,80000,30000,0,10000,120000
3580,Norn9: Norn + Nonette,PSP,2013,Adventure,Idea Factory,0,0,40000,0,40000
3581,Rampage World Tour,N64,1998,Action,GT Interactive,360000,80000,0,10000,450000
3582,Marvel Trading Card Game,DS,2007,Misc,Konami Digital Entertainment,110000,0,0,10000,120000
3583,Dance Dance Revolution 3rdMix,PS,2000,Simulation,Konami Digital Entertainment,0,0,330000,20000,350000
3584,Shakugan no Shana,PS2,2006,Adventure,Media Works,0,0,30000,0,30000
3585,Spider-Man,N64,2000,Action,Activision,430000,90000,0,10000,530000
3586,Homeworld Remastered Collection,PC,1999,Strategy,Sierra Studios,0,10000,0,0,10000
3587,Major Dream: Major Wii Nagero! Gyroball!!,Wii,2008,Sports,Takara Tomy,0,0,10000,0,10000
3588,Resistance Dual Pack,PS3,2011,Shooter,Sony Computer Entertainment,0,10000,0,0,10000
3589,UFC Undisputed 2010,PS3,2010,Fighting,THQ,800000,410000,20000,190000,1420000
3590,Codename: Panzers Complete Collection,PC,2016,Strategy,Nordic Games,0,10000,0,0,10000
3591,Mario & Luigi: Superstar Saga,GBA,2003,Role-Playing,Nintendo,1480000,170000,470000,60000,2180000
3592,IL-2 Sturmovik: Cliffs of Dover,PC,2011,Simulation,Ubisoft,0,40000,0,10000,50000
3593,Puzzle Chronicles,PSP,2010,Puzzle,Konami Digital Entertainment,70000,0,0,10000,80000
3594,NCAA Basketball 09,X360,2008,Sports,Electronic Arts,200000,0,0,20000,220000
3595,Scooby-Doo and the Cyber Chase,GBA,2001,Adventure,Ubisoft,300000,110000,0,10000,420000
3596,Steins;Gate: Senkei Kousoku no Phonogram,PS3,2013,Adventure,5pb,0,0,60000,0,60000
3597,Cabela's Big Game Hunter,PS2,2002,Sports,Activision,700000,540000,0,180000,1420000
3598,Flipper Critters,DS,2007,Simulation,Conspiracy Entertainment,30000,0,0,0,30000
3599,Galactic Attack,SAT,1994,Shooter,Acclaim Entertainment,0,0,250000,0,250000
3600,The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft,2089999,630000,30000,110000,2859999
3601,PANGYA: Fantasy Golf,PSP,2009,Sports,Takara Tomy,90000,0,40000,10000,140000
3602,Mortal Kombat: Deception,PS2,2004,Fighting,Midway Games,920000,720000,0,240000,1880000
3603,Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios,210000,360000,0,110000,680000
3604,World Series of Poker: Tournament of Champions 2007 Edition,Wii,2006,Misc,Activision,40000,0,0,0,40000
3605,Starry ? Sky: In Summer,PSP,2010,Misc,Asgard,0,0,60000,0,60000
